,key,Date_Created,Title,Artist,Invite_Spawner,URL
0,854161284_4209808395,2021-11-14,水平線,back number,saku2222saku,https://www.smule.com/recording/back-number-%E6%B0%B4%E5%B9%B3%E7%B7%9A/854161284_4209808395
1,854161284_4150283706,2021-09-12,ルカルカ★ナイトフィーバー／ボカロ,Luka Megurine,saku2222saku,https://www.smule.com/recording/luka-megurine-%E3%83%AB%E3%82%AB%E3%83%AB%E3%82%AB-%E3%83%8A%E3%82%A4%E3%83%88%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC-%E3%83%9C%E3%82%AB%E3%83%AD/854161284_4150283706
2,854161284_4143509048,2021-09-05,夜に駆ける (-5),YOASOBI,saku2222saku,https://www.smule.com/recording/yoasobi-%E5%A4%9C%E3%81%AB%E9%A7%86%E3%81%91%E3%82%8B-5/854161284_4143509048
3,854161284_4130371806,2021-08-23,チェリー,スピッツ,saku2222saku,https://www.smule.com/recording/%E3%82%B9%E3%83%94%E3%83%83%E3%83%84-%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC/854161284_4130371806
4,854161284_4129357684,2021-08-22,Kokonishika Sakanai Hana - ここにしか咲かない花 小渕･黒田ﾊﾟｰﾄ分け コブクロ,コブクロ,saku2222saku,https://www.smule.com/recording/%E3%82%B3%E3%83%96%E3%82%AF%E3%83%AD-kokonishika-sakanai-hana-%E3%81%93%E3%81%93%E3%81%AB%E3%81%97%E3%81%8B%E5%92%B2%E3%81%8B%E3%81%AA%E3%81%84%E8%8A%B1-%E5%B0%8F%E6%B8%95-%E9%BB%92%E7%94%B0%EF%BE%8A%EF%BE%9F%EF%BD%B0%EF%BE%84%E5%88%86%E3%81%91-%E3%82%B3%E3%83%96%E3%82%AF%E3%83%AD/854161284_4129357684
5,854161284_4115966454,2021-08-09,Yoru ni Kakeru (Into the Night) OFFICIAL ENG.,YOASOBI,saku2222saku,https://www.smule.com/recording/yoasobi-yoru-ni-kakeru-into-the-night-official-eng/854161284_4115966454
6,866011258_4107647130,2021-08-02,夢みたあとで,GARNET CROW,OchaLady,https://www.smule.com/recording/garnet-crow-%E5%A4%A2%E3%81%BF%E3%81%9F%E3%81%82%E3%81%A8%E3%81%A7/866011258_4107647130
7,854161284_4100143168,2021-07-25,Into The Night,YOASOBI,saku2222saku,https://www.smule.com/recording/yoasobi-into-the-night/854161284_4100143168
8,854161284_4092864651,2021-07-18,光と影のロマン,宇徳敬子,saku2222saku,https://www.smule.com/recording/%E5%AE%87%E5%BE%B3%E6%95%AC%E5%AD%90-%E5%85%89%E3%81%A8%E5%BD%B1%E3%81%AE%E3%83%AD%E3%83%9E%E3%83%B3/854161284_4092864651
9,854161284_4088511301,2021-07-14,無色,上原あずみ,saku2222saku,https://www.smule.com/recording/%E4%B8%8A%E5%8E%9F%E3%81%82%E3%81%9A%E3%81%BF-%E7%84%A1%E8%89%B2/854161284_4088511301
