,Date_Created,Title,Artist,URL
0,8/31/2020,Angelus,Hitomi Shimatani,https://www.smule.com//recording/hitomi-shimatani-angelus/866011258_3715293254
1,8/24/2020,My Will (TV Size),Inuyasha ED 1 | Dream - My Will,https://www.smule.com//recording/inuyasha-ed-1-dream-my-will-my-will-tv-size/866011258_3705182190
2,7/24/2020,Mirror,Rei Yasuda,https://www.smule.com//recording/rei-yasuda-mirror/866011258_3660614304
3,6/25/2020,君という光,GARNET CROW,https://www.smule.com//recording/garnet-crow-%E5%90%9B%E3%81%A8%E3%81%84%E3%81%86%E5%85%89/866011258_3615820214
4,5/21/2020,Mirror ( TV Sized ),Rei Yasuda,https://www.smule.com//recording/rei-yasuda-mirror-tv-sized/866011258_3560571561
5,5/3/2020,【Short +6】Haiiro to Ao (Acoustic Arrange),米津玄師＋菅田将暉,https://www.smule.com//recording/%E7%B1%B3%E6%B4%A5%E7%8E%84%E5%B8%AB-%E8%8F%85%E7%94%B0%E5%B0%86%E6%9A%89-short-6-haiiro-to-ao-acoustic-arrange/866011258_3529151431
6,5/3/2020,Dream x Dream (Detective Conan),Aiuchi Rini,https://www.smule.com//recording/aiuchi-rini-dream-x-dream-detective-conan/866011258_3529146425
7,4/4/2020,チェリー ～acoustic version～,スピッツ,https://www.smule.com//recording/%E3%82%B9%E3%83%94%E3%83%83%E3%83%84-%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC-acoustic-version/866011258_3477663365
8,3/28/2020,Ever Blue,Mermaid Melody: Pichi Pichi Pitch,https://www.smule.com//recording/mermaid-melody-pichi-pichi-pitch-ever-blue/866011258_3464976759
9,3/22/2020,Nandemonaiya Short Ver - Acoustic,RADWIMPS (Osamuraisan) なんでもないや,https://www.smule.com//recording/radwimps-osamuraisan-%E3%81%AA%E3%82%93%E3%81%A7%E3%82%82%E3%81%AA%E3%81%84%E3%82%84-nandemonaiya-short-ver-acoustic/866011258_3453637555
10,3/12/2020,Kaze no Lalala (Detective Conan OST),Mai Kuraki,https://www.smule.com//recording/mai-kuraki-kaze-no-lalala-detective-conan-ost/866011258_3439867120
11,2/29/2020,Kizuna,Mermaid Melody: Pichi Pichi Pitch,https://www.smule.com//recording/mermaid-melody-pichi-pichi-pitch-kizuna/866011258_3422671230
12,12/25/2019,空も飛べるはず ～acoustic version～,スピッツ,https://www.smule.com//recording/%E3%82%B9%E3%83%94%E3%83%83%E3%83%84-%E7%A9%BA%E3%82%82%E9%A3%9B%E3%81%B9%E3%82%8B%E3%81%AF%E3%81%9A-acoustic-version/866011258_3323247868
13,12/17/2019,Rain [Tv Size],OP Full Metal Alchemist,https://www.smule.com//recording/op-full-metal-alchemist-rain-tv-size/866011258_3310969356
14,12/15/2019,Legend Of Mermaid,Mermaid Melody,https://www.smule.com//recording/mermaid-melody-legend-of-mermaid/866011258_3307622240
15,9/10/2019,Karaoke - Return to the Sea (Special v2),Alessandro193a,https://www.smule.com//recording/alessandro193a-karaoke-return-to-the-sea-special-v2/866011258_3146512386
16,8/28/2019,渡月橋～君想ふ～,倉木麻衣,https://www.smule.com//recording/%E5%80%89%E6%9C%A8%E9%BA%BB%E8%A1%A3-%E6%B8%A1%E6%9C%88%E6%A9%8B-%E5%90%9B%E6%83%B3%E3%81%B5/866011258_3123853842
17,8/28/2019,Shunkan Sentimental (TV Size),SCANDAL,https://www.smule.com//recording/scandal-shunkan-sentimental-tv-size/866011258_3123835903
18,8/28/2019,"Anata ga Iru kara(""Because You're Here"")",Miho Komatsu,https://www.smule.com//recording/miho-komatsu-anata-ga-iru-kara-because-youre-here/866011258_3123825627
19,8/17/2019,七つの海を渡る風のように　Detective Conan,Aiuchi Rina and Saegusa U-ka,https://www.smule.com//recording/aiuchi-rina-and-saegusa-u-ka-%E4%B8%83%E3%81%A4%E3%81%AE%E6%B5%B7%E3%82%92%E6%B8%A1%E3%82%8B%E9%A2%A8%E3%81%AE%E3%82%88%E3%81%86%E3%81%AB-detective-conan/866011258_3106288762
20,8/17/2019,[Lyrical Nanoha] Pray,水樹奈々 魔法少女リリカルなのはStrikerS,https://www.smule.com//recording/%E6%B0%B4%E6%A8%B9%E5%A5%88%E3%80%85-%E9%AD%94%E6%B3%95%E5%B0%91%E5%A5%B3%E3%83%AA%E3%83%AA%E3%82%AB%E3%83%AB%E3%81%AA%E3%81%AE%E3%81%AFstrikers-lyrical-nanoha-pray/866011258_3104798620
21,7/30/2019,忘れ咲き,GARNET CROW,https://www.smule.com//recording/garnet-crow-%E5%BF%98%E3%82%8C%E5%92%B2%E3%81%8D/866011258_3074275591
